Project ID,Location,Type,Scope (km or m3),CapEx ($M),Duration (months),Safety Score,Delay %,Rework Cost %
OIL573,Kugluktuk,Offshore Platform,76128 m3,883.72,21,84.7,7.4%,0.6%
OIL574,Dawson City,Storage Terminal,161825 m3,746.85,23,87.6,5.4%,0.5%
OIL575,Clyde River,Storage Terminal,231143 m3,835.48,15,87.6,8.4%,2.3%
OIL576,Strathcona County,Offshore Platform,281226 m3,653.06,15,83.1,10.9%,1.3%
OIL577,Fort Saskatchewan,Offshore Platform,247286 m3,727.99,20,88.1,5.8%,0.9%
OIL578,Clyde River,Offshore Platform,171544 m3,740.92,21,83.8,8.0%,1.6%
OIL579,Athabasca County,Storage Terminal,194252 m3,485.31,8,89.6,1.2%,0.5%
OIL580,Redwater,Refinery,81169 m3,606.68,21,82.0,11.3%,3.0%
OIL581,Bonnyville,Refinery,83477 m3,866.04,22,85.1,4.4%,0.9%
OIL582,Whitehorse,Offshore Platform,265253 m3,1053.53,24,86.4,6.7%,0.6%
OIL583,Ponoka County No. 3,Refinery,192339 m3,851.17,20,91.6,2.6%,0.6%
OIL584,Lutsel K’e,Storage Terminal,66535 m3,751.47,15,86.4,9.9%,2.7%
OIL585,Edmonton,Petrochemical Plant,292330 m3,581.3,16,89.6,2.7%,0.5%
OIL586,Athabasca County,Offshore Platform,93481 m3,941.71,20,84.3,8.4%,2.6%
OIL587,Bonnyville M.D. No. 87,Storage Terminal,242102 m3,1016.78,30,91.7,7.3%,0.5%
OIL588,Athabasca County,Petrochemical Plant,179207 m3,736.53,24,88.6,4.8%,0.9%
OIL589,Ponoka County No. 3,Refinery,149397 m3,803.49,16,83.4,6.6%,1.5%
OIL590,Edmonton,Refinery,152399 m3,943.17,22,89.1,7.5%,1.8%
OIL591,Fort Simpson,Pipeline,327 km,677.59,19,92.0,6.2%,0.8%
OIL592,Redwater,Refinery,271270 m3,475.04,6,96.2,2.5%,0.5%
OIL593,Ponoka County No. 3,Storage Terminal,123495 m3,524.18,16,84.8,8.7%,2.2%
OIL594,Lutsel K’e,Refinery,228735 m3,717.52,19,85.9,8.7%,0.8%
OIL595,Kugluktuk,Offshore Platform,194375 m3,864.18,21,88.1,7.0%,2.3%
OIL596,M.D. of Opportunity No. 17,Offshore Platform,77938 m3,1014.39,25,88.4,5.6%,1.3%
OIL597,Redwater,Petrochemical Plant,282383 m3,853.79,22,92.9,3.2%,0.6%
OIL598,Lutsel K’e,Pipeline,375 km,494.03,15,94.1,4.6%,1.3%
OIL599,Sachs Harbour,Petrochemical Plant,80461 m3,658.0,17,87.0,7.2%,2.0%
OIL600,Fort Providence; Kakisa,Pipeline,444 km,1145.78,26,83.9,5.7%,1.5%
OIL601,Inuvik,Petrochemical Plant,157967 m3,822.91,26,93.5,5.9%,2.1%
OIL602,Strathcona County,Petrochemical Plant,202053 m3,956.23,22,85.0,9.8%,1.2%
OIL603,Peace River,Petrochemical Plant,126000 m3,443.91,12,80.5,8.9%,2.9%
OIL604,Strathcona County,Refinery,62963 m3,1026.33,29,83.6,10.3%,1.9%
OIL605,Bonnyville,Refinery,127225 m3,864.64,25,93.2,4.5%,1.4%
OIL606,Peace River,Storage Terminal,73104 m3,889.98,22,88.6,7.0%,1.5%
OIL607,Clyde River; Pond Inlet; Whale Cove,Storage Terminal,240252 m3,884.14,20,93.5,3.3%,0.5%
OIL608,Peace River,Pipeline,316 km,935.1,23,97.1,-1.9%,0.5%
OIL609,M.D. of Opportunity No. 17,Petrochemical Plant,197631 m3,938.09,24,89.6,5.1%,0.7%
OIL610,Peace River,Storage Terminal,84808 m3,681.87,19,100.0,-2.0%,0.5%
OIL611,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,51132 m3,702.46,21,87.0,10.7%,3.0%
OIL612,Lac La Biche County,Petrochemical Plant,71301 m3,1093.41,27,82.0,6.7%,1.3%
OIL613,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Petrochemical Plant,105809 m3,1018.1,29,82.6,10.3%,2.8%
OIL614,Bonnyville M.D. No. 87,Refinery,139743 m3,739.33,17,76.3,10.1%,2.0%
OIL615,Athabasca County,Pipeline,118 km,874.04,24,91.6,4.1%,0.7%
OIL616,Edmonton,Pipeline,192 km,944.15,27,89.4,3.0%,1.1%
OIL617,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Storage Terminal,110646 m3,939.85,20,96.5,-1.5%,0.5%
OIL618,Clearwater County,Pipeline,245 km,685.87,22,88.7,5.2%,1.3%
OIL619,Bonnyville M.D. No. 87,Petrochemical Plant,141038 m3,698.57,17,87.6,9.7%,1.1%
OIL620,Clyde River,Refinery,128209 m3,923.69,23,88.4,3.4%,0.9%
OIL621,Bonnyville,Pipeline,179 km,841.89,18,92.0,5.6%,2.4%
OIL622,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,168142 m3,707.84,22,79.5,9.9%,1.7%
OIL623,Ponoka County No. 3,Offshore Platform,248681 m3,992.88,26,80.5,6.5%,2.1%
OIL624,Athabasca County,Refinery,155433 m3,972.67,25,83.8,8.2%,1.2%
OIL625,Fort Saskatchewan,Offshore Platform,103502 m3,883.69,19,87.5,4.5%,1.2%
OIL626,Dawson City,Refinery,122361 m3,828.06,23,91.4,2.0%,0.5%
OIL627,Strathcona County,Storage Terminal,191172 m3,738.59,22,92.4,3.0%,0.5%
OIL628,Fort Saskatchewan,Petrochemical Plant,190061 m3,217.15,6,89.1,-0.4%,0.5%
OIL629,Regional Municipality of Wood Buffalo,Pipeline,183 km,754.87,23,94.5,6.0%,1.1%
OIL630,Fort Providence; Kakisa,Refinery,201462 m3,525.13,14,90.3,4.6%,1.1%
OIL631,Clearwater County,Petrochemical Plant,161316 m3,1096.39,27,84.7,6.7%,1.3%
OIL632,Regional Municipality of Wood Buffalo,Offshore Platform,199634 m3,880.14,18,88.8,3.8%,1.2%
OIL633,Fort Simpson,Storage Terminal,136148 m3,893.65,22,90.1,3.1%,0.5%
OIL634,Inuvik,Storage Terminal,144346 m3,707.94,15,92.7,2.1%,0.5%
OIL635,Strathcona County,Pipeline,348 km,640.0,15,87.8,8.2%,1.4%
OIL636,Edmonton,Pipeline,353 km,788.77,20,90.1,3.0%,0.5%
OIL637,Clearwater County,Pipeline,454 km,784.48,20,89.8,5.1%,1.2%
OIL638,Fort Simpson,Offshore Platform,197531 m3,1020.46,24,87.4,7.3%,1.0%
OIL639,Lutsel K’e,Offshore Platform,186260 m3,1277.67,35,87.9,6.3%,0.5%
OIL640,Fort Providence; Kakisa,Storage Terminal,256833 m3,1222.47,32,88.1,4.7%,0.7%
OIL641,M.D. of Opportunity No. 17,Offshore Platform,120404 m3,858.19,24,81.8,9.2%,2.5%
OIL642,Whitehorse,Storage Terminal,69252 m3,675.12,19,91.6,8.3%,2.3%
OIL643,Fort Simpson,Storage Terminal,138780 m3,916.94,22,91.6,2.9%,0.5%
OIL644,Fort Saskatchewan,Storage Terminal,144192 m3,1056.19,23,92.7,5.0%,0.8%
OIL645,Lac La Biche County,Storage Terminal,85929 m3,598.25,15,94.6,2.4%,0.5%
OIL646,Edmonton,Petrochemical Plant,159331 m3,718.62,22,88.5,7.9%,1.0%
OIL647,M.D. of Opportunity No. 17,Refinery,100248 m3,779.74,13,82.0,9.8%,1.5%
OIL648,Kugluktuk,Refinery,112665 m3,765.95,18,88.9,4.4%,1.1%
OIL649,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Offshore Platform,227145 m3,707.48,17,89.1,3.0%,0.5%
OIL650,Fort Providence; Kakisa,Offshore Platform,279016 m3,682.82,19,81.3,9.2%,2.2%
OIL651,M.D. of Opportunity No. 17,Pipeline,150 km,931.89,21,93.2,2.9%,0.5%
OIL652,Strathcona County,Pipeline,447 km,1031.51,23,91.9,3.9%,1.2%
OIL653,Fort Saskatchewan,Refinery,143220 m3,1001.32,29,86.5,7.0%,1.2%
OIL654,Kugluktuk,Offshore Platform,132315 m3,923.95,28,88.7,6.2%,0.7%
OIL655,Redwater,Refinery,103331 m3,760.3,16,88.7,6.8%,0.7%
OIL656,Sachs Harbour,Petrochemical Plant,157658 m3,694.11,16,88.9,0.3%,1.3%
OIL657,Whitehorse,Offshore Platform,208571 m3,672.7,17,82.3,9.7%,2.4%
OIL658,Fort Saskatchewan,Petrochemical Plant,108436 m3,634.78,16,80.3,10.2%,1.1%
OIL659,Fort Saskatchewan,Pipeline,292 km,633.5,12,84.6,9.3%,2.0%
OIL660,Edmonton,Storage Terminal,206829 m3,1610.51,42,92.5,2.3%,0.5%
OIL661,Bonnyville M.D. No. 87,Refinery,188919 m3,834.3,22,86.1,5.7%,1.1%
OIL662,Regional Municipality of Wood Buffalo,Offshore Platform,254245 m3,1121.9,31,81.9,9.0%,1.9%
OIL663,Clyde River; Pond Inlet; Whale Cove,Refinery,134085 m3,749.17,16,92.8,2.3%,0.5%
OIL664,Yellowhead County,Refinery,235784 m3,596.45,13,92.9,6.1%,0.9%
OIL665,Edmonton,Petrochemical Plant,196161 m3,809.75,14,86.3,6.8%,1.5%
OIL666,Dawson City,Storage Terminal,172762 m3,783.99,14,84.6,5.5%,1.1%
OIL667,Dawson City,Refinery,249176 m3,917.48,27,89.8,4.1%,1.0%
OIL668,Bonnyville,Offshore Platform,113079 m3,628.49,15,81.4,9.2%,2.4%
OIL669,Bonnyville M.D. No. 87,Pipeline,481 km,877.83,22,90.8,3.4%,1.1%
OIL670,Regional Municipality of Wood Buffalo,Petrochemical Plant,197680 m3,758.87,21,92.2,6.0%,1.4%
OIL671,Ponoka County No. 3,Offshore Platform,201007 m3,957.98,27,86.3,4.1%,1.4%
OIL672,Regional Municipality of Wood Buffalo,Pipeline,425 km,786.05,16,96.1,4.4%,1.3%
OIL673,Inuvik,Offshore Platform,109055 m3,654.61,8,82.8,11.2%,1.4%
OIL674,Yellowhead County,Storage Terminal,199374 m3,525.23,14,81.1,7.1%,1.5%
OIL675,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Petrochemical Plant,214244 m3,687.98,16,91.6,6.2%,1.0%
OIL676,Sachs Harbour,Refinery,182040 m3,646.54,16,90.3,3.5%,0.5%
OIL677,Athabasca County,Storage Terminal,217462 m3,628.44,15,89.1,3.4%,1.0%
OIL678,Whitehorse,Petrochemical Plant,147459 m3,940.39,27,89.0,4.0%,0.5%
OIL679,Athabasca County,Pipeline,107 km,688.91,17,95.1,2.7%,0.5%
OIL680,Ponoka County No. 3,Petrochemical Plant,161030 m3,1208.44,32,85.4,7.5%,2.1%
OIL681,Fort Saskatchewan,Storage Terminal,142091 m3,593.61,14,95.2,2.4%,0.8%
OIL682,Peace River,Offshore Platform,108008 m3,762.26,20,88.6,4.8%,0.7%
OIL683,Lac La Biche County,Offshore Platform,95117 m3,625.24,19,81.6,9.5%,2.1%
OIL684,Strathcona County,Storage Terminal,208957 m3,1014.22,19,89.9,7.3%,1.6%
OIL685,Fort Saskatchewan,Storage Terminal,105823 m3,556.68,11,92.8,3.6%,0.9%
OIL686,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Pipeline,472 km,722.09,12,87.0,6.8%,1.5%
OIL687,Redwater,Offshore Platform,201667 m3,564.22,13,87.4,3.2%,1.6%
OIL688,Fort Simpson,Petrochemical Plant,101990 m3,817.08,15,87.9,6.2%,1.1%
OIL689,Athabasca County,Pipeline,336 km,952.67,19,92.0,3.0%,0.7%
OIL690,Fort Providence; Kakisa,Storage Terminal,155584 m3,749.96,21,85.5,5.7%,1.7%
OIL691,Kugluktuk,Refinery,255066 m3,849.67,21,89.6,5.6%,1.2%
OIL692,Lutsel K’e,Offshore Platform,267410 m3,595.01,22,83.7,9.4%,1.7%
OIL693,Lac La Biche County,Pipeline,418 km,483.51,15,86.5,5.9%,1.6%
OIL694,Clearwater County,Refinery,112672 m3,612.58,16,89.8,5.3%,0.7%
OIL695,Clearwater County,Petrochemical Plant,149862 m3,923.11,22,88.4,5.2%,1.2%
OIL696,Lac La Biche County,Pipeline,124 km,942.41,26,97.5,2.4%,0.5%
OIL697,Bonnyville M.D. No. 87,Pipeline,454 km,1006.78,24,95.6,2.4%,1.1%
OIL698,Athabasca County,Refinery,219746 m3,564.67,15,88.3,2.0%,0.8%
OIL699,Clyde River,Pipeline,274 km,827.47,29,91.3,2.1%,1.6%
OIL700,Fort Simpson,Offshore Platform,134433 m3,930.04,25,83.6,11.6%,2.8%
OIL701,Inuvik,Petrochemical Plant,275027 m3,1073.73,24,78.8,12.8%,2.3%
OIL702,Edmonton,Storage Terminal,229024 m3,803.14,21,88.2,5.5%,1.1%
OIL703,Clyde River; Pond Inlet; Whale Cove,Offshore Platform,291112 m3,929.16,24,85.0,9.7%,2.4%
OIL704,Bonnyville M.D. No. 87,Refinery,91548 m3,615.34,15,93.8,1.3%,0.5%
OIL705,Whitehorse,Storage Terminal,243691 m3,860.54,22,97.6,-2.8%,0.5%
OIL706,Regional Municipality of Wood Buffalo,Refinery,182425 m3,504.03,13,83.7,7.8%,2.3%
OIL707,Clearwater County,Petrochemical Plant,165492 m3,631.13,18,87.1,1.8%,0.5%
OIL708,Inuvik,Offshore Platform,288697 m3,614.24,14,84.3,10.4%,1.6%
OIL709,Kugluktuk,Storage Terminal,92782 m3,861.57,28,84.4,10.2%,2.5%
OIL710,Regional Municipality of Wood Buffalo,Offshore Platform,276090 m3,833.56,24,84.9,6.4%,1.0%
OIL711,Strathcona County,Pipeline,99 km,530.21,12,83.9,5.3%,1.3%
OIL712,Lac La Biche County,Refinery,244692 m3,1311.55,35,81.1,5.5%,1.0%
OIL713,Bonnyville,Petrochemical Plant,111527 m3,1059.22,25,90.5,2.1%,1.5%
OIL714,Ponoka County No. 3,Refinery,210449 m3,1057.48,33,89.5,6.3%,0.8%
OIL715,Bonnyville M.D. No. 87,Pipeline,235 km,479.42,10,87.8,7.4%,1.7%
OIL716,Strathcona County,Refinery,215279 m3,1062.15,24,93.4,0.2%,0.8%
OIL717,Clyde River; Pond Inlet; Whale Cove,Storage Terminal,199594 m3,722.99,12,98.1,2.1%,0.5%
OIL718,Inuvik,Refinery,110107 m3,737.47,20,84.8,7.2%,0.8%
OIL719,Dawson City,Petrochemical Plant,50486 m3,745.52,22,83.8,8.5%,1.3%
OIL720,Fort Saskatchewan,Offshore Platform,240968 m3,1074.29,23,83.9,10.5%,1.9%
OIL721,Clyde River; Pond Inlet; Whale Cove,Refinery,151551 m3,1016.84,26,88.8,5.6%,0.5%
OIL722,Inuvik,Pipeline,264 km,660.54,20,91.3,2.3%,0.5%
OIL723,Fort Providence; Kakisa,Petrochemical Plant,180334 m3,808.48,22,90.7,10.1%,1.8%
OIL724,Lutsel K’e,Storage Terminal,244243 m3,599.92,12,91.7,0.7%,0.5%
OIL725,Fort Saskatchewan,Refinery,296889 m3,755.92,16,96.7,3.9%,1.3%
OIL726,Regional Municipality of Wood Buffalo,Storage Terminal,62397 m3,702.02,18,94.6,1.6%,0.7%
OIL727,M.D. of Opportunity No. 17,Petrochemical Plant,226719 m3,624.77,13,94.4,5.1%,1.6%
OIL728,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Pipeline,59 km,835.92,22,97.0,1.8%,0.5%
OIL729,Regional Municipality of Wood Buffalo,Petrochemical Plant,164560 m3,886.33,24,97.3,-3.1%,0.5%
OIL730,Strathcona County,Storage Terminal,211792 m3,907.76,25,89.4,5.3%,1.1%
OIL731,Edmonton,Petrochemical Plant,200641 m3,627.19,15,82.1,10.9%,3.2%
OIL732,Regional Municipality of Wood Buffalo,Refinery,256749 m3,932.77,19,79.3,9.0%,1.4%
OIL733,Peace River,Pipeline,324 km,1018.42,21,93.8,2.6%,0.5%
OIL734,Ponoka County No. 3,Pipeline,371 km,862.3,19,90.1,4.0%,0.5%
OIL735,Inuvik,Refinery,175383 m3,763.21,14,87.8,3.4%,0.9%
OIL736,Strathcona County,Offshore Platform,117853 m3,640.91,14,80.3,9.9%,1.3%
OIL737,Whitehorse,Petrochemical Plant,104545 m3,900.38,24,83.0,8.4%,1.1%
OIL738,Clearwater County,Petrochemical Plant,254818 m3,1081.78,28,90.9,6.1%,1.4%
OIL739,Kugluktuk,Pipeline,191 km,788.59,23,93.4,3.2%,0.5%
OIL740,Athabasca County,Storage Terminal,187863 m3,609.19,16,98.1,0.6%,0.5%
OIL741,Kugluktuk,Offshore Platform,78876 m3,566.7,19,88.9,3.6%,1.1%
OIL742,Dawson City,Offshore Platform,106176 m3,1232.24,25,83.9,8.0%,2.1%
OIL743,Clyde River,Pipeline,191 km,734.67,19,98.1,1.7%,0.5%
OIL744,Peace River,Refinery,159264 m3,741.41,11,82.8,9.8%,1.2%
OIL745,Athabasca County,Pipeline,356 km,1148.05,27,88.2,5.5%,1.6%
OIL746,Clearwater County,Storage Terminal,100762 m3,1001.8,24,85.6,5.4%,1.1%
OIL747,Inuvik,Storage Terminal,279408 m3,703.28,20,85.8,2.0%,0.5%
OIL748,Fort Providence; Kakisa,Storage Terminal,158241 m3,643.1,13,80.9,11.3%,1.9%
OIL749,Clearwater County,Offshore Platform,179994 m3,900.92,24,80.0,7.0%,1.1%
OIL750,Clyde River,Refinery,282065 m3,643.75,18,84.6,9.3%,2.0%
OIL751,Bonnyville,Petrochemical Plant,86558 m3,588.87,14,82.1,10.9%,1.7%
OIL752,Redwater,Refinery,232877 m3,1227.13,36,78.7,12.9%,2.6%
OIL753,Clyde River,Refinery,182797 m3,845.98,20,90.6,5.9%,1.4%
OIL754,Clyde River,Offshore Platform,205794 m3,760.0,13,72.5,14.2%,2.0%
OIL755,M.D. of Opportunity No. 17,Refinery,297481 m3,733.96,18,86.0,3.6%,0.5%
OIL756,Sachs Harbour,Refinery,242385 m3,677.62,16,86.5,4.8%,0.5%
OIL757,Lutsel K’e,Refinery,72620 m3,859.41,18,91.4,8.4%,2.7%
OIL758,Yellowhead County,Petrochemical Plant,280395 m3,655.21,18,97.0,1.5%,0.5%
OIL759,M.D. of Opportunity No. 17,Pipeline,400 km,1024.99,20,93.6,2.6%,0.5%
OIL760,Lac La Biche County,Refinery,213944 m3,937.38,25,86.7,9.9%,2.5%
OIL761,Fort Saskatchewan,Offshore Platform,282910 m3,886.64,21,80.6,7.3%,0.5%
OIL762,Ponoka County No. 3,Petrochemical Plant,249847 m3,868.36,25,87.4,5.3%,0.5%
OIL763,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Pipeline,111 km,906.33,21,92.4,5.5%,1.5%
OIL764,Lutsel K’e,Storage Terminal,119409 m3,1035.76,26,91.2,2.8%,0.9%
OIL765,M.D. of Opportunity No. 17,Storage Terminal,268194 m3,736.1,20,90.3,7.5%,1.8%
OIL766,Regional Municipality of Wood Buffalo,Refinery,219169 m3,451.41,16,91.8,3.7%,1.0%
OIL767,Fort Providence; Kakisa,Storage Terminal,262153 m3,778.69,15,88.9,7.3%,1.8%
OIL768,Edmonton,Refinery,128315 m3,615.52,10,84.2,7.6%,0.5%
OIL769,Whitehorse,Refinery,228168 m3,712.76,16,91.2,6.0%,1.4%
OIL770,Bonnyville M.D. No. 87,Offshore Platform,271454 m3,906.6,20,83.6,6.2%,1.8%
OIL771,Bonnyville M.D. No. 87,Offshore Platform,250990 m3,926.91,23,83.9,8.4%,1.2%
OIL772,Ponoka County No. 3,Offshore Platform,252107 m3,809.09,22,83.7,7.8%,1.5%
OIL773,Strathcona County,Pipeline,236 km,731.36,12,95.9,2.6%,1.2%
OIL774,Peace River,Storage Terminal,99777 m3,747.14,21,92.2,3.8%,0.5%
OIL775,M.D. of Opportunity No. 17,Storage Terminal,59372 m3,1045.87,25,90.8,5.9%,0.7%
OIL776,M.D. of Opportunity No. 17,Petrochemical Plant,272933 m3,1016.43,24,82.1,4.5%,0.6%
OIL777,Kugluktuk,Refinery,276367 m3,788.79,19,86.5,8.2%,1.3%
OIL778,Fort Providence; Kakisa,Pipeline,459 km,1082.41,31,92.4,4.0%,1.0%
OIL779,Clyde River; Pond Inlet; Whale Cove,Pipeline,498 km,551.05,14,82.9,8.1%,1.7%
OIL780,Kugluktuk,Petrochemical Plant,291424 m3,591.55,13,87.8,7.8%,1.0%
OIL781,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,176244 m3,805.89,22,84.1,5.1%,0.5%
OIL782,Clyde River; Pond Inlet; Whale Cove,Pipeline,263 km,1194.88,32,86.5,4.1%,0.9%
OIL783,Inuvik,Refinery,183180 m3,643.03,18,82.4,9.5%,2.6%
OIL784,Edmonton,Petrochemical Plant,260377 m3,939.59,24,82.4,7.9%,2.0%
OIL785,Athabasca County,Offshore Platform,289464 m3,1105.9,31,86.2,9.9%,1.8%
OIL786,Inuvik,Refinery,80782 m3,906.07,21,95.3,4.7%,1.0%
OIL787,Fort Providence; Kakisa,Petrochemical Plant,146188 m3,809.61,24,88.3,4.6%,0.6%
OIL788,Ponoka County No. 3,Pipeline,386 km,458.12,12,88.7,8.8%,0.5%
OIL789,Ponoka County No. 3,Refinery,183692 m3,1166.84,31,85.4,6.7%,1.7%
OIL790,Peace River,Storage Terminal,207620 m3,465.11,13,92.7,5.0%,1.8%
OIL791,Bonnyville M.D. No. 87,Offshore Platform,124723 m3,564.45,25,82.9,8.1%,0.5%
OIL792,M.D. of Opportunity No. 17,Petrochemical Plant,172834 m3,621.17,24,83.0,6.7%,0.5%
OIL793,Strathcona County,Petrochemical Plant,167827 m3,523.68,8,78.1,9.9%,1.7%
OIL794,Clyde River; Pond Inlet; Whale Cove,Refinery,52176 m3,548.32,10,87.3,6.0%,1.0%
OIL795,M.D. of Opportunity No. 17,Storage Terminal,168972 m3,821.41,21,96.4,1.2%,0.6%
OIL796,Clyde River,Storage Terminal,93284 m3,891.08,21,91.9,3.8%,1.4%
OIL797,Athabasca County,Pipeline,78 km,521.82,12,91.4,0.9%,0.5%
OIL798,Peace River,Pipeline,382 km,943.1,24,92.4,4.8%,1.2%
OIL799,Bonnyville M.D. No. 87,Pipeline,161 km,785.96,12,91.4,6.4%,1.0%
OIL800,Bonnyville,Petrochemical Plant,141103 m3,580.4,16,85.6,8.1%,1.5%
OIL801,Fort Saskatchewan,Petrochemical Plant,67158 m3,1022.33,26,86.5,7.8%,1.2%
OIL802,M.D. of Opportunity No. 17,Storage Terminal,112502 m3,936.75,26,83.5,8.8%,1.9%
OIL803,Fort Simpson,Refinery,111451 m3,959.81,26,92.7,1.8%,0.8%
OIL804,Fort Saskatchewan,Pipeline,190 km,977.18,20,89.9,7.3%,0.8%
OIL805,M.D. of Opportunity No. 17,Petrochemical Plant,218102 m3,898.51,21,84.9,9.2%,2.3%
OIL806,Clyde River,Refinery,182828 m3,1088.06,29,85.9,7.6%,1.4%
OIL807,Kugluktuk,Pipeline,272 km,965.99,21,85.8,7.6%,0.9%
OIL808,Bonnyville,Petrochemical Plant,292955 m3,1051.74,29,85.1,9.3%,0.6%
OIL809,Fort Simpson,Storage Terminal,59399 m3,889.4,20,96.6,2.9%,1.3%
OIL810,Lutsel K’e,Pipeline,58 km,1042.47,26,87.9,4.4%,2.0%
OIL811,M.D. of Opportunity No. 17,Pipeline,253 km,886.99,21,94.2,3.5%,0.9%
OIL812,Fort Saskatchewan,Refinery,171716 m3,555.37,16,87.0,7.0%,1.9%
OIL813,Yellowhead County,Pipeline,184 km,483.64,14,89.7,5.1%,0.8%
OIL814,Whitehorse,Offshore Platform,79048 m3,854.61,18,90.9,4.0%,0.5%
OIL815,Kugluktuk,Petrochemical Plant,100192 m3,1001.61,25,87.6,4.1%,0.5%
OIL816,Inuvik,Pipeline,264 km,680.59,17,87.8,8.2%,1.2%
OIL817,Inuvik,Offshore Platform,51868 m3,901.98,24,84.6,7.5%,1.9%
OIL818,Bonnyville,Petrochemical Plant,56212 m3,760.99,12,87.0,8.2%,1.3%
OIL819,Peace River,Petrochemical Plant,260126 m3,670.09,18,87.0,7.2%,1.1%
OIL820,M.D. of Opportunity No. 17,Offshore Platform,144786 m3,840.43,28,87.4,4.5%,1.1%
OIL821,Athabasca County,Offshore Platform,298304 m3,1091.5,30,91.4,5.2%,0.8%
OIL822,M.D. of Opportunity No. 17,Pipeline,284 km,993.66,30,88.9,3.0%,0.5%
OIL823,Bonnyville M.D. No. 87,Offshore Platform,201126 m3,711.11,17,85.2,6.4%,2.2%
OIL824,Lutsel K’e,Petrochemical Plant,277021 m3,826.79,16,85.1,6.2%,0.9%
OIL825,Fort Providence; Kakisa,Refinery,269073 m3,852.85,21,91.0,4.7%,0.7%
OIL826,Sachs Harbour,Offshore Platform,118304 m3,849.08,21,88.0,3.7%,0.5%
OIL827,Regional Municipality of Wood Buffalo,Petrochemical Plant,69924 m3,1153.96,29,82.3,9.4%,2.3%
OIL828,Dawson City,Refinery,68344 m3,733.92,17,87.7,5.8%,1.0%
OIL829,Fort Providence; Kakisa,Pipeline,219 km,630.76,18,93.8,0.6%,0.8%
OIL830,Clearwater County,Pipeline,483 km,644.38,14,86.2,7.5%,1.2%
OIL831,Inuvik,Pipeline,334 km,565.7,10,92.1,4.0%,0.6%
OIL832,Clearwater County,Storage Terminal,91787 m3,790.81,17,85.8,9.2%,1.7%
OIL833,Lutsel K’e,Pipeline,428 km,504.48,13,99.6,-1.6%,0.5%
OIL834,M.D. of Opportunity No. 17,Petrochemical Plant,143608 m3,676.85,13,91.6,4.3%,0.5%
OIL835,Clearwater County,Pipeline,420 km,768.29,16,92.4,0.7%,0.5%
OIL836,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,256502 m3,978.0,26,95.0,2.0%,0.5%
OIL837,Peace River,Storage Terminal,108481 m3,1215.68,31,89.6,7.7%,1.8%
OIL838,Athabasca County,Refinery,54023 m3,619.83,17,92.7,3.6%,1.1%
OIL839,Kugluktuk,Pipeline,347 km,996.28,27,91.8,0.3%,0.5%
OIL840,Clyde River,Offshore Platform,192954 m3,704.69,13,82.2,9.0%,1.5%
OIL841,Redwater,Refinery,57025 m3,547.25,10,88.4,7.7%,1.0%
OIL842,Kugluktuk,Pipeline,293 km,1116.42,32,89.9,5.1%,0.6%
OIL843,Ponoka County No. 3,Offshore Platform,158943 m3,911.91,22,95.7,0.8%,0.5%
OIL844,Ponoka County No. 3,Offshore Platform,104555 m3,762.78,15,77.9,7.6%,1.5%
OIL845,Bonnyville,Petrochemical Plant,80846 m3,858.24,20,86.3,1.9%,1.0%
OIL846,M.D. of Opportunity No. 17,Pipeline,98 km,326.26,11,87.5,9.8%,1.8%
OIL847,Inuvik,Storage Terminal,160454 m3,679.02,18,92.1,5.2%,0.5%
OIL848,Bonnyville,Offshore Platform,275406 m3,631.99,22,88.4,4.9%,1.2%
OIL849,Ponoka County No. 3,Storage Terminal,263485 m3,925.46,26,85.9,6.1%,1.2%
OIL850,Fort Providence; Kakisa,Refinery,250798 m3,937.32,23,89.1,3.9%,0.6%
OIL851,Redwater,Petrochemical Plant,201606 m3,982.04,24,82.2,9.0%,3.0%
OIL852,Yellowhead County,Petrochemical Plant,85036 m3,980.14,24,93.3,3.0%,0.5%
OIL853,Whitehorse,Petrochemical Plant,112901 m3,623.8,17,89.3,5.9%,1.6%
OIL854,Whitehorse,Offshore Platform,77843 m3,813.87,23,80.8,7.8%,1.9%
OIL855,Chesterfield Inlet; Coral Harbour; Pond Inlet; Rankin Inlet,Refinery,152391 m3,410.53,13,84.8,9.3%,3.3%
OIL856,Whitehorse,Storage Terminal,96069 m3,642.74,11,86.8,5.3%,1.7%
OIL857,Strathcona County,Refinery,208486 m3,880.59,23,82.3,7.9%,1.2%
OIL858,Sachs Harbour,Offshore Platform,148303 m3,923.81,18,90.7,5.3%,1.6%
OIL859,Whitehorse,Refinery,89767 m3,719.61,21,86.3,10.5%,1.2%
