Project ID,Region,Length (km),Delivery Model,CapEx ($M),Duration (months),Schedule Slip (%),Safety Incidents,Carbon Intensity (tCO2e/km)
RAIL805,Africa,57.4,EPC,542.2,112,6.2,2,839
RAIL806,Europe,51.1,DBFOM,100.3,58,0.1,0,882
RAIL807,Asia,52.1,PPP,2157.0,36,-1.8,15,908
RAIL808,Australia,54.7,PPP,2970.9,24,0.6,32,930
RAIL809,USA,56.0,DBFOM,2611.0,15,0.6,32,717
RAIL810,South America,56.2,DBFOM,250.0,63,0.4,3,796
RAIL811,Australia,80.1,Design-Bid-Build,28.4,7,-1.8,1,750
RAIL812,Africa,60.9,DBFOM,2936.1,40,2.7,31,570
RAIL813,South America,46.9,Design-Bid-Build,349.1,50,-3.8,8,931
RAIL814,Africa,61.8,DBFOM,74.4,49,-7.0,0,708
RAIL815,Asia,58.0,Alliance,2377.2,85,0.6,24,852
RAIL816,Canada,54.7,Alliance,55.8,62,11.4,2,758
RAIL817,Canada,28.3,Design-Bid-Build,259.9,37,2.1,1,889
RAIL818,Africa,25.2,PPP,403.1,48,1.3,4,1004
RAIL819,Australia,58.7,DBFOM,118.8,12,-4.5,1,974
RAIL820,Africa,54.1,EPC,1235.0,46,-1.1,14,728
RAIL821,Canada,33.9,PPP,6313.2,2,-7.1,77,908
RAIL822,Canada,51.1,Design-Bid-Build,76.2,21,-3.3,1,757
RAIL823,Europe,55.1,EPC,1946.6,25,3.7,24,1008
RAIL824,South America,45.6,Design-Bid-Build,36.5,95,2.7,1,680
RAIL825,South America,48.4,Design-Bid-Build,248.1,50,-2.4,3,1060
RAIL826,South America,60.3,EPC,150.5,1,3.8,2,782
RAIL827,Canada,39.2,Design-Bid-Build,2936.1,47,-6.7,25,965
RAIL828,Europe,31.3,EPC,3839.8,10,3.7,30,1135
RAIL829,Asia,25.8,PPP,2078.7,85,-2.8,19,762
RAIL830,Canada,38.2,Alliance,3855.2,35,9.3,35,1178
RAIL831,South America,51.4,DBFOM,3485.8,50,-10.8,30,641
RAIL832,Europe,77.1,EPC,2494.1,75,-4.2,25,720
RAIL833,Canada,81.8,Alliance,2591.4,35,-6.8,27,614
RAIL834,Europe,51.4,Design-Bid-Build,341.4,16,-9.1,6,842
RAIL835,Australia,38.3,Alliance,625.8,120,-0.1,8,683
RAIL836,Africa,58.1,Alliance,5011.3,9,-1.9,54,804
RAIL837,Asia,43.8,Design-Bid-Build,5306.7,112,-4.8,53,932
RAIL838,USA,20.5,DBFOM,104.8,12,-1.6,1,729
RAIL839,Africa,50.4,Alliance,876.7,25,-2.4,12,537
RAIL840,USA,34.5,EPC,120.5,44,-3.1,1,919
RAIL841,Asia,19.0,Alliance,459.1,24,-2.8,8,866
RAIL842,Australia,58.4,Alliance,84.8,9,-5.6,0,822
RAIL843,Canada,36.2,DBFOM,343.6,17,2.5,1,829
RAIL844,Australia,56.7,Alliance,2064.9,22,-5.8,16,577
RAIL845,Africa,30.1,PPP,95.7,61,-9.1,2,795
RAIL846,USA,38.3,EPC,4614.8,49,3.8,48,870
RAIL847,Canada,48.3,Alliance,3615.5,21,-2.3,39,804
RAIL848,Europe,42.2,EPC,430.3,51,-0.7,4,647
RAIL849,South America,66.3,PPP,833.5,62,-5.1,2,867
RAIL850,Asia,55.7,Alliance,364.4,62,-5.7,2,578
RAIL851,Canada,41.5,Design-Bid-Build,356.2,6,-6.6,3,1110
RAIL852,Asia,45.0,DBFOM,3601.5,24,-7.3,33,411
RAIL853,USA,47.5,Design-Bid-Build,56.0,29,-5.7,0,705
RAIL854,USA,20.7,DBFOM,831.3,12,8.6,6,813
RAIL855,Canada,80.7,DBFOM,104.9,110,0.9,1,523
RAIL856,Canada,21.7,Design-Bid-Build,788.8,10,-0.8,2,655
RAIL857,Asia,49.1,DBFOM,215.0,82,0.2,2,635
RAIL858,Australia,47.1,DBFOM,266.3,48,8.0,4,937
RAIL859,South America,39.6,DBFOM,697.3,4,-0.9,8,734
RAIL860,USA,62.6,Design-Bid-Build,1.1,5,8.0,0,1009
RAIL861,Europe,85.5,PPP,2018.2,35,9.0,24,524
RAIL862,Africa,47.4,PPP,2182.0,14,5.2,16,815
RAIL863,South America,43.2,Alliance,5454.6,156,-1.4,55,963
RAIL864,Asia,26.5,PPP,834.5,50,4.6,5,908
RAIL865,Canada,55.4,Design-Bid-Build,28.7,12,-3.9,1,856
RAIL866,Australia,35.0,PPP,1524.1,74,2.4,15,678
RAIL867,Europe,18.4,EPC,276.0,35,-2.0,3,634
RAIL868,Europe,29.6,Design-Bid-Build,1544.3,38,-0.0,8,557
RAIL869,Europe,27.3,Design-Bid-Build,4287.9,55,-1.5,40,838
RAIL870,Australia,42.0,EPC,2500.9,3,5.1,29,1051
RAIL871,Australia,59.0,PPP,992.3,52,5.7,8,763
RAIL872,USA,21.4,EPC,954.4,8,2.2,14,737
RAIL873,South America,41.9,Alliance,4278.9,56,2.7,45,643
RAIL874,Australia,22.2,DBFOM,788.0,15,-5.5,9,881
RAIL875,Africa,50.6,Design-Bid-Build,6243.4,52,8.8,53,712
RAIL876,Australia,45.7,Design-Bid-Build,352.3,19,-11.4,1,630
RAIL877,Canada,48.6,DBFOM,2039.2,100,-0.7,25,809
RAIL878,Africa,23.2,Alliance,2039.4,32,-0.4,17,623
RAIL879,Australia,20.8,EPC,300.1,75,2.2,2,573
RAIL880,USA,80.0,DBFOM,395.8,25,-3.9,4,843
RAIL881,Asia,32.1,DBFOM,716.4,47,-3.7,13,635
RAIL882,Australia,72.7,Design-Bid-Build,18.5,76,4.3,2,642
RAIL883,Europe,30.6,DBFOM,810.5,50,-1.0,4,792
RAIL884,USA,31.5,PPP,154.0,50,3.1,0,813
RAIL885,South America,49.3,Alliance,1446.1,54,-1.5,5,896
RAIL886,Australia,53.4,PPP,552.7,45,1.6,7,903
RAIL887,Europe,44.8,Alliance,22.9,48,1.9,1,384
RAIL888,Australia,22.7,DBFOM,61.9,15,3.1,0,714
RAIL889,Asia,29.0,PPP,619.8,14,0.6,8,677
RAIL890,Europe,30.8,PPP,571.5,23,3.0,3,653
RAIL891,Asia,29.9,PPP,843.8,23,2.7,7,930
RAIL892,South America,76.8,DBFOM,1179.0,36,1.8,15,983
RAIL893,Canada,14.7,DBFOM,1573.9,16,-5.4,14,956
RAIL894,USA,42.5,DBFOM,1523.8,50,-6.1,15,721
RAIL895,Australia,78.3,EPC,1679.2,12,1.3,16,694
RAIL896,South America,19.9,DBFOM,2108.7,23,-0.6,28,956
RAIL897,USA,28.6,PPP,3096.8,47,4.6,33,1019
RAIL898,Australia,59.5,Design-Bid-Build,110.0,2,-6.8,1,940
RAIL899,South America,44.9,Design-Bid-Build,2320.6,62,-1.5,27,933
RAIL900,Australia,42.7,PPP,1648.0,112,4.0,11,1061
RAIL901,Australia,53.6,PPP,185.2,46,4.3,2,694
RAIL902,Africa,55.7,PPP,120.2,26,1.7,0,692
RAIL903,Africa,59.0,Design-Bid-Build,0.1,20,1.2,1,916
RAIL904,Africa,67.6,EPC,2568.6,36,-2.0,24,918
RAIL905,Europe,40.2,Alliance,265.1,111,2.4,1,793
RAIL906,USA,59.9,PPP,1751.3,74,5.5,12,991
RAIL907,Canada,61.4,Alliance,636.2,35,4.3,3,1143
RAIL908,South America,40.3,DBFOM,4288.7,22,-3.4,26,843
RAIL909,Australia,60.6,Alliance,1151.9,79,9.7,18,767
RAIL910,Australia,94.3,EPC,2236.8,11,-7.2,13,798
RAIL911,Europe,64.3,PPP,2346.4,35,-1.6,25,733
RAIL912,Australia,46.4,DBFOM,4992.4,13,-2.2,55,837
RAIL913,USA,66.9,DBFOM,4817.9,75,7.8,51,820
RAIL914,Europe,75.0,Alliance,744.7,59,-0.3,10,698
RAIL915,USA,61.7,DBFOM,200.1,155,-6.1,0,927
RAIL916,Canada,41.1,Design-Bid-Build,823.2,61,2.5,8,772
RAIL917,Asia,43.5,EPC,127.7,70,-8.6,0,491
RAIL918,Africa,56.1,Design-Bid-Build,1785.6,36,2.3,17,1003
RAIL919,Europe,76.7,EPC,150.4,58,3.9,1,762
RAIL920,Australia,95.8,EPC,311.4,12,2.3,6,1028
RAIL921,Australia,62.6,DBFOM,2440.8,47,1.1,14,885
RAIL922,Asia,63.4,PPP,90.3,50,5.2,1,867
RAIL923,Africa,60.8,PPP,1432.7,47,-3.8,9,908
RAIL924,Canada,53.1,DBFOM,2518.0,7,2.6,17,972
RAIL925,Asia,39.0,EPC,874.2,55,9.5,13,987
RAIL926,Africa,58.4,EPC,2639.1,27,4.1,29,714
RAIL927,South America,73.4,DBFOM,239.4,23,-2.3,0,472
RAIL928,Australia,83.7,DBFOM,2186.7,30,-3.3,23,511
RAIL929,Asia,62.4,Design-Bid-Build,1602.7,28,-7.3,11,941
RAIL930,Africa,65.4,DBFOM,3130.6,123,-0.5,31,825
RAIL931,USA,67.4,Alliance,0.1,4,-2.7,0,791
RAIL932,Africa,67.0,PPP,1977.0,9,3.2,29,717
RAIL933,USA,23.7,PPP,489.2,83,0.8,3,866
RAIL934,Australia,54.8,EPC,315.2,44,0.7,4,687
RAIL935,Australia,34.7,PPP,476.5,27,1.3,8,631
RAIL936,USA,58.6,Alliance,2214.7,45,6.5,17,940
RAIL937,Asia,51.6,EPC,17.3,19,-9.1,1,1034
RAIL938,Europe,31.2,Design-Bid-Build,125.0,19,1.3,2,649
RAIL939,Canada,27.9,Alliance,0.1,30,2.9,0,806
RAIL940,Australia,65.7,Design-Bid-Build,1682.0,111,5.9,17,870
RAIL941,Australia,52.6,DBFOM,517.9,25,1.0,6,923
RAIL942,USA,26.1,Design-Bid-Build,1126.3,47,2.7,8,1014
RAIL943,Australia,20.1,Design-Bid-Build,2022.1,75,-0.0,25,857
RAIL944,Asia,46.7,Design-Bid-Build,919.6,24,1.2,9,1063
RAIL945,Africa,48.1,DBFOM,230.5,79,-0.5,2,798
RAIL946,Africa,47.7,PPP,36.7,64,-4.0,0,869
RAIL947,Asia,98.7,Design-Bid-Build,2039.4,28,8.2,21,918
RAIL948,South America,77.8,EPC,1455.8,59,3.5,8,790
RAIL949,USA,78.0,PPP,1086.9,74,-3.6,11,762
RAIL950,Africa,29.4,PPP,6.8,23,1.6,0,881
RAIL951,South America,45.4,EPC,1611.4,52,3.6,18,733
RAIL952,Asia,64.3,PPP,11.4,5,4.0,1,514
RAIL953,Asia,45.0,PPP,1636.0,57,1.6,9,925
RAIL954,Canada,22.4,PPP,1301.4,81,-2.3,17,520
RAIL955,Asia,48.8,EPC,2485.0,24,1.5,27,951
RAIL956,South America,77.4,EPC,1493.8,50,-0.0,18,674
RAIL957,Canada,47.7,Design-Bid-Build,39.6,11,-4.3,0,1131
RAIL958,USA,57.8,Alliance,3820.5,23,-3.5,40,982
RAIL959,Australia,50.7,Design-Bid-Build,1503.7,30,1.7,16,689
RAIL960,Europe,75.3,Design-Bid-Build,18.5,10,-3.3,1,784
RAIL961,Europe,59.4,Alliance,3692.5,27,-6.6,31,759
RAIL962,South America,47.3,Alliance,2040.7,16,1.0,30,1205
RAIL963,USA,28.1,Alliance,474.2,0,6.0,6,913
RAIL964,USA,62.8,DBFOM,9.3,88,3.8,0,1106
RAIL965,USA,19.7,EPC,426.3,37,-0.8,4,695
RAIL966,Asia,53.3,PPP,2092.2,8,-0.4,24,616
RAIL967,USA,67.7,Alliance,887.9,24,-2.1,15,1010
RAIL968,Canada,57.1,DBFOM,5456.3,22,0.0,49,969
RAIL969,Australia,86.8,PPP,6886.6,63,0.9,60,1031
RAIL970,Europe,76.2,DBFOM,1610.6,8,4.7,15,480
RAIL971,Europe,15.3,Design-Bid-Build,9.9,17,5.6,1,750
RAIL972,Asia,59.3,Design-Bid-Build,1145.2,5,1.0,14,921
RAIL973,Canada,77.3,Alliance,878.5,51,-3.6,9,659
RAIL974,Australia,31.5,DBFOM,196.4,6,1.9,1,749
RAIL975,USA,57.4,EPC,377.7,86,-5.2,4,603
RAIL976,South America,78.2,DBFOM,1841.0,26,2.9,12,799
RAIL977,Australia,43.9,PPP,51.6,7,-0.6,2,628
RAIL978,Asia,54.2,Alliance,3389.5,24,-1.6,46,1006
RAIL979,Asia,46.3,EPC,488.6,49,3.0,10,973
RAIL980,Europe,73.1,DBFOM,305.7,25,-1.4,4,683
RAIL981,Australia,33.5,PPP,2328.0,101,-3.8,22,890
RAIL982,Africa,62.1,DBFOM,1717.0,59,-1.1,14,734
RAIL983,Asia,50.0,PPP,330.1,39,2.4,2,1006
RAIL984,Canada,41.1,DBFOM,97.2,12,5.8,1,897
RAIL985,Europe,52.9,DBFOM,282.2,4,5.6,4,777
RAIL986,Europe,29.8,EPC,2277.2,77,3.5,27,802
RAIL987,Asia,38.3,PPP,1279.2,37,3.9,16,542
RAIL988,Europe,69.9,DBFOM,3334.3,32,-7.8,32,746
RAIL989,South America,47.9,Design-Bid-Build,116.8,26,1.5,0,826
RAIL990,USA,61.0,EPC,582.3,61,0.2,9,960
RAIL991,South America,87.4,Alliance,190.8,64,3.4,2,825
RAIL992,Canada,35.8,PPP,112.5,36,7.0,2,526
RAIL993,South America,35.8,PPP,127.7,24,4.9,2,990
RAIL994,USA,12.3,PPP,2539.3,52,2.6,26,908
RAIL995,Australia,36.2,Design-Bid-Build,18.8,10,6.7,1,965
RAIL996,Asia,22.7,Design-Bid-Build,463.4,50,-0.9,1,803
RAIL997,Asia,56.5,Design-Bid-Build,2612.1,52,6.4,20,767
RAIL998,Africa,54.7,DBFOM,0.1,49,-6.9,0,877
RAIL999,Asia,13.8,Design-Bid-Build,543.5,110,-10.6,9,551
RAIL1000,Europe,25.8,PPP,160.6,25,-0.2,3,990
RAIL1001,USA,19.1,Design-Bid-Build,502.2,21,8.8,11,682
RAIL1002,Australia,57.2,DBFOM,3041.8,15,7.7,32,608
RAIL1003,USA,24.7,EPC,572.9,50,-10.6,11,661
RAIL1004,South America,28.3,DBFOM,2063.3,59,2.7,23,1083
RAIL1005,South America,42.0,DBFOM,1645.4,12,-6.0,13,904
RAIL1006,USA,27.1,EPC,2067.8,45,3.4,23,901
RAIL1007,Africa,60.0,Alliance,0.1,60,2.3,1,985
RAIL1008,South America,54.3,Alliance,209.3,6,5.1,1,1129
RAIL1009,Europe,23.8,EPC,1299.3,30,2.5,15,643
RAIL1010,Canada,81.4,Design-Bid-Build,2332.6,50,3.6,18,549
RAIL1011,Africa,54.9,EPC,163.1,61,1.6,0,993
RAIL1012,Europe,31.0,PPP,0.1,63,-0.5,1,794
RAIL1013,South America,75.7,Design-Bid-Build,8.5,24,0.9,0,717
RAIL1014,USA,56.3,DBFOM,715.1,67,-8.4,15,785
RAIL1015,Africa,21.7,Alliance,161.0,66,-1.5,0,657
RAIL1016,Canada,58.4,Alliance,1044.1,43,4.8,8,574
RAIL1017,Australia,80.8,PPP,612.8,23,-3.3,5,818
RAIL1018,USA,71.5,PPP,1330.8,4,-8.2,9,715
RAIL1019,Asia,12.2,Alliance,2778.6,138,10.4,23,780
RAIL1020,Africa,39.5,Design-Bid-Build,1139.5,45,-2.6,18,919
RAIL1021,South America,57.7,EPC,834.4,87,5.1,15,844
RAIL1022,Canada,13.6,PPP,1761.0,24,6.5,17,746
RAIL1023,Europe,22.2,Design-Bid-Build,295.3,12,3.4,4,690
RAIL1024,Africa,32.7,Alliance,453.9,37,7.9,7,854
RAIL1025,Australia,30.2,Design-Bid-Build,3109.9,31,5.9,41,484
RAIL1026,USA,64.5,DBFOM,373.5,9,-2.2,1,658
RAIL1027,Asia,54.0,Alliance,183.0,12,-8.2,1,779
RAIL1028,South America,77.3,DBFOM,1727.3,25,13.3,23,996
RAIL1029,South America,62.7,DBFOM,3137.0,42,-3.8,31,538
RAIL1030,South America,68.2,EPC,4230.4,42,-6.7,43,791
RAIL1031,Asia,55.8,EPC,2435.1,15,-3.9,23,825
RAIL1032,USA,53.3,Alliance,259.4,3,0.6,4,879
RAIL1033,South America,61.2,Design-Bid-Build,1118.7,58,1.0,11,433
RAIL1034,South America,62.8,DBFOM,453.6,88,-0.6,3,1071
RAIL1035,South America,74.2,PPP,3940.1,12,-9.3,36,668
RAIL1036,Australia,68.8,Design-Bid-Build,217.6,8,-0.1,1,822
RAIL1037,Canada,23.1,DBFOM,1164.5,63,-4.0,14,818
RAIL1038,Africa,78.8,PPP,1906.8,37,-4.9,25,856
RAIL1039,Europe,17.9,PPP,3535.6,13,1.5,32,632
RAIL1040,Europe,38.1,EPC,90.0,20,1.2,1,917
RAIL1041,Europe,65.8,Alliance,6701.0,31,7.0,61,535
RAIL1042,Australia,65.4,PPP,182.1,35,-3.0,1,856
RAIL1043,Canada,75.3,Design-Bid-Build,1126.9,12,-1.3,15,1013
RAIL1044,Africa,50.3,EPC,156.8,49,-8.4,6,723
RAIL1045,USA,5.0,EPC,715.6,63,-5.4,9,880
RAIL1046,Australia,69.2,Design-Bid-Build,106.1,27,5.9,3,868
RAIL1047,USA,44.3,Alliance,84.1,21,-2.7,1,812
RAIL1048,South America,55.7,DBFOM,857.5,19,-2.3,6,1011
RAIL1049,Canada,52.8,Design-Bid-Build,1028.0,14,5.9,8,706
RAIL1050,South America,52.0,Design-Bid-Build,486.0,25,11.8,5,764
RAIL1051,Africa,37.6,DBFOM,104.2,83,-2.2,0,597
RAIL1052,Canada,72.7,Alliance,8679.3,51,3.1,69,647
RAIL1053,Asia,69.8,DBFOM,270.0,8,2.9,2,859
RAIL1054,Canada,24.9,Alliance,1310.3,37,-7.6,15,812
RAIL1055,South America,39.3,Alliance,5197.0,60,4.1,52,572
RAIL1056,Europe,67.3,DBFOM,1994.3,24,-3.2,17,918
RAIL1057,USA,33.8,PPP,3096.0,47,-4.5,31,725
RAIL1058,Canada,20.6,PPP,2567.3,36,0.8,26,645
RAIL1059,Africa,33.6,PPP,3362.8,15,-8.8,26,702
RAIL1060,Canada,57.1,DBFOM,101.9,48,6.7,2,1091
RAIL1061,USA,74.8,PPP,370.8,48,2.5,2,777
RAIL1062,Canada,51.0,DBFOM,3.6,14,1.7,1,770
RAIL1063,Europe,28.6,PPP,2766.6,48,0.8,31,963
RAIL1064,Asia,35.0,Design-Bid-Build,1191.7,37,-0.8,13,775
RAIL1065,Europe,54.2,PPP,2954.2,112,-6.4,27,918
RAIL1066,Africa,5.0,PPP,1302.7,5,0.0,10,1146
RAIL1067,Europe,75.5,PPP,22.2,12,-1.2,3,733
RAIL1068,Canada,59.9,Alliance,788.0,24,-6.3,14,780
RAIL1069,Asia,67.6,DBFOM,852.7,32,-0.3,4,697
RAIL1070,Europe,15.7,Alliance,1786.0,23,-1.3,21,726
RAIL1071,Europe,42.3,Design-Bid-Build,2782.5,25,-2.9,28,634
RAIL1072,South America,33.1,DBFOM,2380.2,24,-5.3,25,1135
RAIL1073,Asia,36.7,Alliance,4566.8,24,-0.8,45,735
RAIL1074,Europe,75.2,EPC,118.7,30,0.4,0,869
RAIL1075,South America,77.5,Design-Bid-Build,318.7,48,-1.6,5,505
RAIL1076,Africa,59.0,Design-Bid-Build,679.6,19,-4.0,4,722
RAIL1077,USA,113.0,Alliance,3536.4,23,4.7,41,858
RAIL1078,Africa,60.9,Design-Bid-Build,99.6,14,-3.8,1,914
RAIL1079,USA,33.9,Design-Bid-Build,1269.0,13,-1.5,8,962
RAIL1080,South America,71.6,Design-Bid-Build,463.2,75,4.0,4,712
RAIL1081,Australia,69.3,DBFOM,1909.1,37,1.1,22,667
RAIL1082,Africa,58.3,PPP,1605.8,27,6.3,14,787
RAIL1083,Europe,57.5,Design-Bid-Build,2040.4,5,-0.8,14,1046
RAIL1084,South America,36.8,Alliance,181.5,28,-6.8,2,868
RAIL1085,Canada,31.2,Design-Bid-Build,2782.7,25,-5.0,26,840
RAIL1086,Australia,61.6,Design-Bid-Build,1577.9,2,-3.5,22,670
RAIL1087,South America,33.3,Design-Bid-Build,492.8,27,-3.7,6,1000
RAIL1088,Europe,48.8,Alliance,1377.1,35,-1.7,18,848
RAIL1089,Europe,55.3,DBFOM,41.3,50,-8.1,0,944
RAIL1090,Europe,66.8,Alliance,931.1,12,4.1,5,831
RAIL1091,Africa,53.0,Alliance,594.0,40,8.3,5,837
RAIL1092,Asia,96.8,Alliance,1438.1,7,-6.6,18,839
RAIL1093,South America,25.2,DBFOM,2159.2,16,2.2,11,516
RAIL1094,Asia,39.3,DBFOM,3883.1,105,-2.0,47,805
RAIL1095,USA,33.1,Design-Bid-Build,295.9,33,-4.6,2,743
RAIL1096,Africa,63.5,EPC,1484.2,73,-4.4,16,624
RAIL1097,Asia,69.8,Alliance,2820.3,111,-2.5,26,968
RAIL1098,Australia,38.1,EPC,153.3,75,1.1,0,541
RAIL1099,South America,76.4,PPP,3335.5,16,1.9,33,511
RAIL1100,Africa,63.6,Alliance,9127.2,6,-2.0,66,793
RAIL1101,South America,42.0,Design-Bid-Build,2230.2,95,-5.2,23,599
RAIL1102,Australia,82.8,Design-Bid-Build,818.5,69,0.4,6,722
RAIL1103,Asia,5.0,PPP,591.1,15,-5.1,7,797
RAIL1104,Asia,73.0,Design-Bid-Build,2836.7,57,2.7,28,571
RAIL1105,Europe,39.9,Design-Bid-Build,5240.5,21,-3.5,64,779
RAIL1106,Africa,61.6,PPP,743.3,60,-3.1,11,834
RAIL1107,Asia,60.5,Design-Bid-Build,2279.9,49,5.6,22,761
RAIL1108,Africa,57.5,PPP,952.0,19,-4.2,9,811
RAIL1109,Asia,48.3,EPC,936.7,71,-3.9,3,851
RAIL1110,Asia,47.0,Design-Bid-Build,143.5,36,6.6,1,901
RAIL1111,Asia,62.8,PPP,2520.0,21,9.4,32,559
RAIL1112,Africa,64.1,Design-Bid-Build,3275.9,62,-3.9,31,958
RAIL1113,Asia,30.2,Design-Bid-Build,774.8,17,1.1,3,659
RAIL1114,South America,35.1,DBFOM,4008.4,140,-0.0,37,680
RAIL1115,Asia,66.8,PPP,2964.3,250,2.5,39,735
RAIL1116,Asia,64.1,DBFOM,506.4,15,-12.0,3,976
RAIL1117,Australia,31.0,Design-Bid-Build,202.9,33,-2.4,2,593
RAIL1118,Asia,92.7,Design-Bid-Build,1507.3,55,2.0,7,902
RAIL1119,USA,28.2,Design-Bid-Build,2770.6,7,-2.0,33,968
RAIL1120,Canada,34.0,PPP,1258.9,39,1.9,11,763
RAIL1121,Africa,44.3,Design-Bid-Build,1847.3,19,0.4,21,878
RAIL1122,Australia,50.3,Alliance,728.9,9,-1.5,6,970
RAIL1123,Canada,52.2,EPC,1832.5,20,-1.4,23,894
RAIL1124,South America,47.7,EPC,203.1,59,2.8,2,992
RAIL1125,USA,27.7,Design-Bid-Build,1865.0,62,6.8,20,910
RAIL1126,Africa,72.6,PPP,3359.3,24,3.1,43,859
RAIL1127,Europe,55.4,Alliance,1738.3,72,3.1,21,834
RAIL1128,Africa,21.3,DBFOM,884.7,23,8.8,10,877
RAIL1129,Europe,13.5,Design-Bid-Build,43.9,12,0.0,1,817
RAIL1130,Africa,59.3,Design-Bid-Build,1172.2,24,-8.1,6,791
RAIL1131,Africa,62.7,Design-Bid-Build,275.6,20,-3.7,1,842
RAIL1132,South America,64.3,PPP,3542.4,41,-5.7,29,686
RAIL1133,Australia,47.2,DBFOM,2395.2,48,-2.1,17,836
RAIL1134,South America,9.2,DBFOM,1026.7,14,-4.6,10,670
RAIL1135,South America,51.0,Design-Bid-Build,3391.6,5,6.1,35,673
RAIL1136,USA,40.6,Alliance,431.5,37,8.0,6,985
RAIL1137,Canada,59.4,Design-Bid-Build,634.7,32,-5.1,9,1003
RAIL1138,Africa,45.8,Alliance,170.7,10,-8.1,2,741
RAIL1139,Asia,37.5,DBFOM,378.6,25,-0.9,5,680
RAIL1140,Europe,23.7,Alliance,716.9,62,4.2,7,747
RAIL1141,Canada,35.1,EPC,3671.4,101,-6.5,37,910
RAIL1142,South America,51.1,EPC,3952.0,27,0.9,32,1050
RAIL1143,Asia,64.4,Alliance,473.3,48,3.1,5,1034
RAIL1144,Canada,26.4,PPP,3220.0,49,6.8,33,1172
RAIL1145,Australia,51.9,Design-Bid-Build,2633.3,20,-0.6,36,713
RAIL1146,Asia,56.8,EPC,2295.1,37,7.8,18,912
RAIL1147,Australia,68.3,EPC,2424.0,60,6.4,19,632
RAIL1148,Canada,35.0,Alliance,268.1,49,-8.2,2,877
RAIL1149,Asia,41.0,DBFOM,491.3,47,-6.7,4,667
RAIL1150,Asia,70.2,PPP,415.3,2,-3.0,5,771
RAIL1151,USA,45.9,Design-Bid-Build,7740.8,3,1.0,76,751
RAIL1152,Africa,43.2,EPC,3484.6,23,-1.4,29,352
RAIL1153,Canada,66.2,PPP,1360.2,58,-6.5,19,783
RAIL1154,Africa,81.5,PPP,2605.0,40,4.9,21,627
RAIL1155,Europe,38.3,PPP,438.7,92,-9.6,6,815
RAIL1156,Europe,47.0,Design-Bid-Build,1817.0,54,0.2,23,863
RAIL1157,Canada,63.0,Alliance,200.7,14,1.3,1,586
RAIL1158,Australia,81.8,Design-Bid-Build,5839.0,96,4.3,46,829
RAIL1159,Africa,71.3,DBFOM,1080.1,60,6.7,8,898
RAIL1160,Australia,15.0,EPC,14.2,48,-1.5,0,769
RAIL1161,USA,28.3,Design-Bid-Build,1674.1,27,0.8,15,779
RAIL1162,USA,47.1,DBFOM,3380.9,53,1.9,26,618
RAIL1163,South America,95.4,PPP,1076.1,47,-4.9,7,721
RAIL1164,Africa,64.2,Alliance,2342.9,69,-5.5,25,701
RAIL1165,Europe,17.0,Alliance,663.6,13,11.5,4,650
RAIL1166,Asia,89.0,Alliance,237.4,59,-6.0,2,873
RAIL1167,Canada,34.2,DBFOM,1753.7,44,-1.0,18,572
RAIL1168,Europe,39.7,Design-Bid-Build,610.8,109,-9.8,4,1010
RAIL1169,Australia,95.0,EPC,1068.1,49,-11.6,10,748
RAIL1170,Australia,29.1,Alliance,2962.9,12,0.1,33,985
RAIL1171,Australia,66.6,EPC,74.0,59,-3.8,1,905
RAIL1172,Africa,69.1,PPP,91.2,30,4.6,0,841
RAIL1173,Asia,67.4,Design-Bid-Build,591.4,46,1.6,4,746
RAIL1174,Asia,38.7,EPC,806.0,25,3.0,12,866
RAIL1175,Australia,76.1,PPP,189.7,36,-9.1,4,935
RAIL1176,South America,44.6,EPC,422.8,64,3.8,7,856
RAIL1177,Africa,64.8,Alliance,457.0,64,1.9,2,714
RAIL1178,USA,83.3,DBFOM,48.4,111,-1.2,2,1028
RAIL1179,Africa,68.1,Design-Bid-Build,2048.6,27,-2.1,17,689
RAIL1180,USA,71.5,EPC,211.0,51,-3.1,4,756
RAIL1181,USA,36.7,Design-Bid-Build,2006.8,36,-10.3,20,669
RAIL1182,USA,28.5,Design-Bid-Build,1398.5,56,1.8,9,1115
RAIL1183,USA,57.6,EPC,174.2,10,1.4,3,957
RAIL1184,Asia,51.5,DBFOM,389.1,51,-0.9,9,683
RAIL1185,Canada,79.4,Design-Bid-Build,197.0,70,3.4,1,640
RAIL1186,Asia,5.0,PPP,1882.5,73,-0.9,23,706
RAIL1187,Asia,37.4,Design-Bid-Build,1230.4,7,-1.3,16,484
RAIL1188,South America,19.9,PPP,2331.1,55,-8.9,28,705
RAIL1189,Africa,48.2,PPP,3325.2,4,9.9,35,581
RAIL1190,Africa,60.8,Alliance,2229.7,24,4.9,19,743
RAIL1191,Europe,38.6,EPC,3774.4,70,-3.2,31,736
RAIL1192,South America,34.1,EPC,867.3,38,-4.0,12,665
RAIL1193,Australia,23.7,DBFOM,2561.1,23,3.9,27,600
RAIL1194,Australia,30.4,EPC,2650.4,50,-4.4,24,634
RAIL1195,South America,96.4,EPC,2167.4,59,-3.4,19,895
RAIL1196,Canada,38.9,DBFOM,32.2,34,3.8,0,794
RAIL1197,South America,71.1,EPC,1307.3,121,1.8,8,1065
